front_images_url,product_name,brand,category,gender,regular_price,current_price,discount_rate,color_text,material,details,sizes_available,fit,length,sleeve_length,style,lining,thickness,season,transparency,elasticity,rating,reviews,product_detail_url,crawled_at
,wide leg pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga | nba collaboration varsity jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga | nba collaboration tracksuit jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga | nba collaboration mini ruffle skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cursive zip-up hoodie regular fit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,laurel classic zip-up hoodie regular fit,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,laurel classic medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,dirac equation fitted t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,tucked sleeve shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short wrap coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,back-to-front high neck sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wrap coat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cocoon short trench,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,overshirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,v-neck sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,pleated skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,short sleeve shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,back-to-front high neck sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,wide leg pants,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
